date,mobility_index
2020-01-13,100.0
2020-01-14,105.14
2020-01-15,107.06
2020-01-16,106.08
2020-01-17,115.13
2020-01-18,126.63
2020-01-19,104.37
2020-01-20,103.68
2020-01-21,109.45
2020-01-22,112.85
2020-01-23,111.52
2020-01-24,120.06
2020-01-25,130.78
2020-01-26,105.11
2020-01-27,103.7
2020-01-28,105.84
2020-01-29,110.18
2020-01-30,111.72
2020-01-31,124.67
2020-02-01,129.92
2020-02-02,111.18
2020-02-03,104.18
2020-02-04,107.19
2020-02-05,111.08
2020-02-06,111.71
2020-02-07,120.48
2020-02-08,134.34
2020-02-09,103.13
2020-02-10,106.62
2020-02-11,109.07
2020-02-12,111.2
2020-02-13,110.18
2020-02-14,123.91
2020-02-15,131.79
2020-02-16,116.64
2020-02-17,123.55
2020-02-18,122.11
2020-02-19,125.12
2020-02-20,124.27
2020-02-21,133.95
2020-02-22,141.61
2020-02-23,111.26
2020-02-24,107.64
2020-02-25,109.44
2020-02-26,110.17
2020-02-27,111.27
2020-02-28,122.41
2020-02-29,129.48
2020-03-01,109.14
2020-03-02,102.74
2020-03-03,105.44
2020-03-04,106.93
2020-03-05,106.97
2020-03-06,118.77
2020-03-07,127.78
2020-03-08,100.86
2020-03-09,98.05
2020-03-10,99.47
2020-03-11,94.33
2020-03-12,86.28
2020-03-13,89.95
2020-03-14,94.84
2020-03-15,67.46
2020-03-16,57.95
2020-03-17,46.33
2020-03-18,40.32
2020-03-19,38.7
2020-03-20,34.64
2020-03-21,28.01
2020-03-22,25.9
2020-03-23,24.44
2020-03-24,17.15
2020-03-25,15.43
2020-03-26,14.49
2020-03-27,14.05
2020-03-28,13.6
2020-03-29,13.3
2020-03-30,14.16
2020-03-31,13.92
2020-04-01,13.66
2020-04-02,13.65
2020-04-03,13.36
2020-04-04,12.51
2020-04-05,12.83
2020-04-06,13.65
2020-04-07,13.36
2020-04-08,13.18
2020-04-09,13.25
2020-04-10,12.7
2020-04-11,12.1
2020-04-12,11.21
2020-04-13,12.72
2020-04-14,13.72
2020-04-15,13.91
2020-04-16,13.62
2020-04-17,13.17
2020-04-18,12.6
2020-04-19,13.58
2020-04-20,14.78
2020-04-21,14.7
2020-04-22,14.73
2020-04-23,14.85
2020-04-24,14.57
2020-04-25,14.42
2020-04-26,15.21
2020-04-27,15.41
2020-04-28,14.57
2020-04-29,15.04
2020-04-30,14.84
2020-05-01,15.62
2020-05-02,15.94
2020-05-03,16.21
2020-05-04,17.38
2020-05-05,17.57
2020-05-06,17.49
2020-05-07,17.67
2020-05-08,17.78
2020-05-09,18.45
2020-05-10,17.92
2020-05-11,
2020-05-12,
2020-05-13,19.95
2020-05-14,19.73
2020-05-15,20.81
2020-05-16,20.38
2020-05-17,21.57
2020-05-18,23.72
2020-05-19,23.93
2020-05-20,25.82
2020-05-21,24.67
2020-05-22,25.06
2020-05-23,24.28
2020-05-24,24.9
2020-05-25,29.48
2020-05-26,29.31
2020-05-27,28.33
2020-05-28,29.02
2020-05-29,30.22
2020-05-30,31.42
2020-05-31,31.19
2020-06-01,32.18
2020-06-02,32.59
2020-06-03,31.34
2020-06-04,29.03
2020-06-05,30.35
2020-06-06,31.14
2020-06-07,30.97
2020-06-08,31.01
2020-06-09,31.85
2020-06-10,30.17
2020-06-11,30.24
2020-06-12,33.37
2020-06-13,36.8
2020-06-14,35.0
2020-06-15,36.31
2020-06-16,35.46
2020-06-17,34.33
2020-06-18,35.35
2020-06-19,38.17
2020-06-20,41.19
2020-06-21,35.95
2020-06-22,42.1
2020-06-23,44.45
2020-06-24,46.58
2020-06-25,48.25
2020-06-26,47.16
2020-06-27,44.12
2020-06-28,41.37
2020-06-29,43.61
2020-06-30,42.79
2020-07-01,43.47
2020-07-02,43.29
2020-07-03,47.43
2020-07-04,50.91
2020-07-05,48.68
2020-07-06,51.02
2020-07-07,50.86
2020-07-08,49.03
2020-07-09,50.37
2020-07-10,56.37
2020-07-11,58.84
2020-07-12,53.15
2020-07-13,54.79
2020-07-14,55.14
2020-07-15,56.33
2020-07-16,57.31
2020-07-17,66.2
2020-07-18,66.06
2020-07-19,54.74
2020-07-20,60.56
2020-07-21,60.34
2020-07-22,61.47
2020-07-23,61.78
2020-07-24,66.13
2020-07-25,64.0
2020-07-26,59.57
2020-07-27,61.11
2020-07-28,63.55
2020-07-29,65.72
2020-07-30,67.3
2020-07-31,71.84
2020-08-01,70.88
2020-08-02,63.94
2020-08-03,67.07
2020-08-04,67.67
2020-08-05,70.56
2020-08-06,70.5
2020-08-07,74.41
2020-08-08,74.12
2020-08-09,65.9
2020-08-10,71.63
2020-08-11,69.3
2020-08-12,68.04
2020-08-13,68.66
2020-08-14,71.88
2020-08-15,71.68
2020-08-16,64.36
2020-08-17,72.27
2020-08-18,73.98
2020-08-19,72.56
2020-08-20,75.51
2020-08-21,77.49
2020-08-22,81.13
2020-08-23,70.64
2020-08-24,76.94
2020-08-25,78.02
2020-08-26,82.89
2020-08-27,74.0
2020-08-28,80.93
2020-08-29,83.81
2020-08-30,76.04
2020-08-31,83.39
2020-09-01,81.02
2020-09-02,82.55
2020-09-03,82.17
2020-09-04,86.65
2020-09-05,88.04
2020-09-06,79.68
2020-09-07,82.09
2020-09-08,82.83
2020-09-09,81.07
2020-09-10,81.32
2020-09-11,86.93
2020-09-12,92.73
2020-09-13,82.51
2020-09-14,83.06
2020-09-15,83.16
2020-09-16,83.36
2020-09-17,84.44
2020-09-18,88.49
2020-09-19,93.2
2020-09-20,82.1
2020-09-21,79.03
2020-09-22,79.07
2020-09-23,76.77
2020-09-24,74.67
2020-09-25,84.0
2020-09-26,85.32
2020-09-27,73.91
2020-09-28,74.13
2020-09-29,74.72
2020-09-30,75.83
2020-10-01,74.27
2020-10-02,78.77
2020-10-03,83.45
2020-10-04,71.61
2020-10-05,72.35
2020-10-06,72.59
2020-10-07,76.47
2020-10-08,74.92
2020-10-09,83.01
2020-10-10,90.52
2020-10-11,77.91
2020-10-12,69.02
2020-10-13,70.55
2020-10-14,72.4
2020-10-15,71.33
2020-10-16,81.68
2020-10-17,78.48
2020-10-18,70.35
2020-10-19,67.06
2020-10-20,68.22
2020-10-21,67.63
2020-10-22,69.62
2020-10-23,77.23
2020-10-24,77.92
2020-10-25,73.78
2020-10-26,73.45
2020-10-27,72.86
2020-10-28,74.47
2020-10-29,74.62
2020-10-30,84.29
2020-10-31,82.43
2020-11-01,69.49
2020-11-02,70.1
2020-11-03,74.54
2020-11-04,77.69
2020-11-05,42.21
2020-11-06,42.07
2020-11-07,41.63
2020-11-08,41.48
2020-11-09,45.85
2020-11-10,45.65
2020-11-11,46.05
2020-11-12,45.31
2020-11-13,47.1
2020-11-14,42.87
2020-11-15,43.37
2020-11-16,45.65
2020-11-17,45.76
2020-11-18,45.9
2020-11-19,44.27
2020-11-20,47.17
2020-11-21,48.9
2020-11-22,46.69
2020-11-23,47.97
2020-11-24,47.62
2020-11-25,46.59
2020-11-26,47.5
2020-11-27,50.13
2020-11-28,51.71
2020-11-29,47.2
2020-11-30,50.61
2020-12-01,52.95
2020-12-02,60.57
2020-12-03,63.77
2020-12-04,74.48
2020-12-05,82.08
2020-12-06,66.9
2020-12-07,64.8
2020-12-08,64.62
2020-12-09,66.81
2020-12-10,67.78
2020-12-11,79.32
2020-12-12,84.59
2020-12-13,66.44
2020-12-14,69.28
2020-12-15,73.29
2020-12-16,56.77
2020-12-17,57.6
2020-12-18,60.39
2020-12-19,53.79
2020-12-20,39.87
2020-12-21,40.4
2020-12-22,37.09
2020-12-23,37.33
2020-12-24,31.69
2020-12-25,15.54
2020-12-26,29.42
2020-12-27,32.85
2020-12-28,34.62
2020-12-29,36.66
2020-12-30,36.48
2020-12-31,34.43
2021-01-01,26.45
2021-01-02,34.41
2021-01-03,36.62
2021-01-04,37.35
2021-01-05,33.89
2021-01-06,33.01
2021-01-07,32.43
2021-01-08,33.25
2021-01-09,32.92
2021-01-10,32.37
2021-01-11,33.47
2021-01-12,33.13
2021-01-13,32.94
2021-01-14,32.44
2021-01-15,34.1
2021-01-16,32.99
2021-01-17,34.13
2021-01-18,35.14
2021-01-19,34.67
2021-01-20,34.23
2021-01-21,34.56
2021-01-22,36.62
2021-01-23,36.39
2021-01-24,33.49
2021-01-25,36.19
2021-01-26,34.67
2021-01-27,35.25
2021-01-28,36.32
2021-01-29,37.29
2021-01-30,35.55
2021-01-31,36.12
2021-02-01,36.41
2021-02-02,35.92
2021-02-03,36.51
2021-02-04,36.67
2021-02-05,39.61
2021-02-06,38.97
2021-02-07,35.3
2021-02-08,36.45
2021-02-09,35.8
2021-02-10,37.72
2021-02-11,37.17
2021-02-12,39.56
2021-02-13,39.98
2021-02-14,37.2
2021-02-15,41.63
2021-02-16,41.12
2021-02-17,42.83
2021-02-18,42.44
2021-02-19,45.28
2021-02-20,46.48
2021-02-21,43.4
2021-02-22,44.78
2021-02-23,45.54
2021-02-24,46.37
2021-02-25,45.48
2021-02-26,50.27
2021-02-27,53.59
2021-02-28,46.88
2021-03-01,48.31
2021-03-02,47.79
2021-03-03,47.4
2021-03-04,46.73
2021-03-05,51.26
2021-03-06,52.48
2021-03-07,49.76
2021-03-08,50.74
2021-03-09,52.16
2021-03-10,49.11
2021-03-11,49.57
2021-03-12,
2021-03-13,53.45
2021-03-14,48.39
2021-03-15,52.2
2021-03-16,51.9
2021-03-17,52.34
2021-03-18,50.62
2021-03-19,55.68
2021-03-20,56.87
2021-03-21,52.32
2021-03-22,54.86
2021-03-23,55.32
2021-03-24,54.49
2021-03-25,53.97
2021-03-26,56.96
2021-03-27,65.12
2021-03-28,57.44
2021-03-29,64.47
2021-03-30,74.29
2021-03-31,69.84
2021-04-01,68.39
2021-04-02,69.07
2021-04-03,64.87
2021-04-04,60.01
2021-04-05,64.44
2021-04-06,68.6
2021-04-07,69.83
2021-04-08,67.72
2021-04-09,69.65
2021-04-10,67.18
2021-04-11,72.76
2021-04-12,84.92
2021-04-13,81.06
2021-04-14,80.83
2021-04-15,81.71
2021-04-16,88.86
2021-04-17,95.19
2021-04-18,82.39
2021-04-19,78.93
2021-04-20,84.01
